date,BIRate(persen)
Jan-19,6
Feb-19,6
Mar-19,6
Apr-19,6
May-19,6
Jun-19,6
Jul-19,5.75
Aug-19,5.5
Sep-19,5.25
Oct-19,5
Nov-19,5
Dec-19,5
Jan-20,5
Feb-20,4.75
Mar-20,4.5
Apr-20,4.5
May-20,4.5
Jun-20,4.25
Jul-20,4
Aug-20,4
Sep-20,4
Oct-20,4
Nov-20,3.75
Dec-20,3.75
Jan-21,3.75
Feb-21,3.5
Mar-21,3.5
Apr-21,3.5
May-21,3.5
Jun-21,3.5
Jul-21,3.5
Aug-21,3.5
Sep-21,3.5
Oct-21,3.5
Nov-21,3.5
Dec-21,3.5
Jan-22,3.5
Feb-22,3.5
Mar-22,3.5
Apr-22,3.5
May-22,3.5
Jun-22,3.5
Jul-22,3.5
Aug-22,3.75
Sep-22,4.25
Oct-22,4.75
Nov-22,5.25
Dec-22,5.5
Jan-23,5.75
Feb-23,5.75
Mar-23,5.75
Apr-23,5.75
May-23,5.75
Jun-23,5.75
Jul-23,5.75
Aug-23,5.75
Sep-23,5.75
Oct-23,6
Nov-23,6
Dec-23,6
Jan-24,6
Feb-24,6
Mar-24,6
Apr-24,6.25
May-24,6.25
