created_at,username,full_text,sentimen
Sun Jun 02 15:14:01 +0000 2024,ganeeeng,rampok banget @JeniusConnect @jeniushelp biar ga ke debet2 rampok gini gimana cara nya? @JeniusConnect @jeniushelp https://t.co/uxTVz3pD1k,negatif
Thu Jun 27 00:33:53 +0000 2024,hidahahahihi,Ini jenius @JeniusConnect @jeniushelp kenapa ya btw? Dari semalem muter2 mulu ga bisa dipake. Tolong dong ini sistem down didiemin bae https://t.co/kY33q2QvSu,netral
Thu Jun 20 05:16:07 +0000 2024,MeinNameistMia,@jeniushelp halo ini kenapa ga bisa download mutasi ya? Saya udah install beberapa apk pdf reader padahal https://t.co/dQoF4QWqZp,netral
Thu Jun 27 01:55:47 +0000 2024,cindydayana,@JeniusConnect @jeniushelp Wkwkwkwwkk @JeniusConnect @jeniushelp https://t.co/avYqCInD6l,netral
Sun Jun 23 13:27:40 +0000 2024,jNingningie,kak @jeniushelp maaf mau nanya kalo ada sales jenius dijalan disuruh daftar jenius tapi kita disuruh foto sama ktp pake ipad mereka itu aman kah? dari jenius nya langsung? mohon dijawab yaa kaak,netral
Wed Jun 26 17:41:11 +0000 2024,agtekiw,kenapa bunga flexi cash gue tbtb naik heyy @jeniushelp @JeniusConnect,netral
Mon May 06 08:40:56 +0000 2024,leo_chelseafc,Tolong cek DM donk @jeniushelp @JeniusConnect,netral
Sat Jun 29 02:11:03 +0000 2024,jeniushelp,@meowjuanaaaaa Hi Feesible adalah biaya layanan Jenius/admin bulanan Rp10.000 per bulan. Apabila penagihan masih gagal dilakukan maka Feesible akan ditagihkan kembali secara akumulatif di bulan berikutnya maksimum akumulasi Rp120.000^ MBS,netral
Tue Jun 25 10:05:09 +0000 2024,arcelfaa,@gojekindonesia @JeniusConnect @jeniushelp ini kenapa ko gabisa nyambungin jenius ke app gojek https://t.co/Yp2yjrWW4Q,netral
Sun Jun 02 10:00:44 +0000 2024,RumbleAren81603,Cek dm ya min @jeniushelp,netral
Sun May 12 03:22:48 +0000 2024,polareuyo,cek dm min @jeniushelp,netral
Fri Jun 14 13:11:14 +0000 2024,shintaa1924,@jeniushelp min cdm ya minn,netral
Sat Jun 22 09:53:22 +0000 2024,delimangg,Tolong @JeniusConnect @jeniushelp kenapa SGD saya kesedot terus sama transaksi yg tidak jelas??? https://t.co/z8uOjDtlUy,netral
