userName,score,at,content,sentimen
Pengguna Google,1,7/2/2024 5:53,"busuk busuk, akumulasi saldo di atas 10jt, tf ke bank lain malah kena admin 5rbu, busuk",negatif
Pengguna Google,1,7/2/2024 4:36,"Katanya gaada potongan tapi tiap bulan di potong 60k padahal gaada transaksi kemanapun, dan keseringan kosong saldo nya tp pas ada saldo langsung disedot",negatif
Pengguna Google,1,7/2/2024 3:18,Lama banget jaringannya dan lemot setiap transaksi. Saran: perbaikan secara berkala u jaringannya dan diperbanyak merchan2 btpn,negatif
Pengguna Google,1,7/2/2024 2:24,"Jenius memang aneh, dulu waktu mau install ulang aplikasi harus hapus perangkat lama, tapi skrg tidak bisa hapus diperangkat lama, skrg harus verifikasi wajah diperangkat lama, trus gimana bisa verifikasi diperangkat lama, sedangkan perangkat saya tetap ini, yg factory reset, merepotkan benar nasabah nya, apa gak bisa jenius dibuat mendeteksi IMEI hp yg di pakai sblmnya, kalau IMEI sama harusnya gak perlu ribet2 utk hapus perangkat lama dan verifikasi wajah, menyusahkan nasabah",negatif
Pengguna Google,1,7/2/2024 2:10,"Parah sih, data nasabah bisa bocor dan orang yang gak bertanggung jawab menghubungi dengan dalih Flexicash. Gak lagi-lagi pakai ini. Kecewa",negatif
Pengguna Google,1,7/1/2024 14:22,"Limit Kartu Kredit saya seperti Pinjaman Online dan sulit untuk Naik Limit padahal IUARAN TAHUNANNYA sudah saya bayar, Limit masih saje Limit Pinjol kacau ini Bank ...",negatif
Pengguna Google,1,7/1/2024 13:01,"Login selalu dipersulit, padahal semua informasi pribadi saya punya.",negatif
Pengguna Google,1,7/1/2024 12:15,Susah banget login.. Apk nya sering banget gangguan. Mungkin apk ini ga mau d bayar.,negatif
Pengguna Google,1,7/1/2024 11:55,Ini kenapa SMS kode otp login kaga nongol-nongol......,netral
Pengguna Google,1,7/1/2024 9:25,"Kenapa Jenius Paylater saya tidak bisa digunakan, padahal saya tidak telat bayar nya.. tolong dibenerin Paylater nyaa",netral
Pengguna Google,1,7/1/2024 7:05,"saya di kategori smart yg seharusnya dapat 15 kali transfer gratis antar bank. tapi malah kena biaya 5000 ketika transfer. padahal awal bulan, dan blm memakai kuota transfer gratis. Curang kalian.",negatif
Pengguna Google,1,7/1/2024 6:51,"Mau daftar gabisa terus, padahal sudah masukin password sesuai tapi terjadi kesalaham mulu, ga bener!",negatif
Pengguna Google,1,7/1/2024 5:49,"Aplikasi sampah, mau login gagal hapus perangkat gagal terus bodoh. Baru di klik verifikasi wajah langsung muncul tulisan gagal.",negatif
Pengguna Google,1,7/1/2024 5:17,"asli ini apk ribet sudah 2x video call sm cs nya tapi kok belum di verifikasi sudah sesuai aturan ngikutin cs nya, jangan mandaang ktp dan tampilan orang banyak orang di ktp tidak bekerja tapi punya usaha yang penghasilan nya berjuta juta ngaku nya btpn tapi ngak bisa menghargai sampah",negatif
Pengguna Google,1,7/1/2024 5:12,Lambat,negatif
Pengguna Google,1,7/1/2024 4:57,"Hanya bisa diakses ketika pakai data, sudah coba setting tetap tidak ngaruh.",netral
